Molecule,Variability_CV,VirtualProfileId,ParameterSetId,PopulationIndividualId,Dose_mg_kg,AUC0_28d_ug_h_mL,Cmax_ug_mL,Lambda_z_1_h,AUCinf_ug_h_mL,Terminal_CL_L_day,Profile_type
Golimumab,0.3,1032,21,31,3,9656.873582819882,83.27127993106842,0.004460150618764948,10119.021958701214,0.04241422545025019,Sparse reduced-study candidate
Golimumab,0.3,1032,21,31,10,31752.57130766961,277.54817605018616,0.004454858246506864,33277.3358627969,0.04299126994039289,Sparse reduced-study candidate
Golimumab,0.3,1032,21,31,30,91612.12894057085,832.3848009109497,0.004446928605517365,96039.67646348481,0.044688871776402524,Sparse reduced-study candidate
Golimumab,0.3,1033,21,32,0.1,250.57944226834007,2.15917001478374,0.004547882359868958,261.8891310449093,0.04249258691894437,Sparse reduced-study candidate
Golimumab,0.3,1033,21,32,1,2513.805997402805,21.59164845943451,0.00446880702970977,2633.4342673921465,0.042257924573423526,Sparse reduced-study candidate
Golimumab,0.3,1033,21,32,3,7521.212658334747,64.7739127278328,0.004461243054195824,7880.901937628004,0.04236195330988485,Sparse reduced-study candidate
Golimumab,0.3,1033,21,32,10,24807.120886201774,215.89972972869873,0.004456162972470772,25997.352248668976,0.042805692509022226,Sparse reduced-study candidate
Golimumab,0.3,1033,21,32,30,72183.78186759258,647.5553512573242,0.004448134648487479,75666.05295000302,0.04412155608832576,Sparse reduced-study candidate
Golimumab,0.3,1034,21,33,0.1,348.6301433821876,3.0001203529536724,0.004527268901885181,364.60004228278444,0.04240970963047376,Sparse reduced-study candidate
Golimumab,0.3,1034,21,33,1,3491.335098674632,30.00101074576378,0.0044658166777504634,3657.8072141202797,0.04227281816488562,Sparse reduced-study candidate
Golimumab,0.3,1034,21,33,3,10432.488408104617,90.00098705291748,0.004459830885838276,10931.857752464746,0.04243354315779972,Sparse reduced-study candidate
Golimumab,0.3,1034,21,33,10,34264.2757898726,299.97639656066895,0.004454409530273755,35910.13854017219,0.043059098497137675,Sparse reduced-study candidate
Golimumab,0.3,1034,21,33,30,98559.90951660277,899.616551399231,0.004446066670777047,103326.8431727254,0.04489418659183302,Sparse reduced-study candidate
Golimumab,0.3,1035,21,34,0.1,259.7422783953412,2.2377580404281616,0.0045453585269872214,271.48677519670355,0.042482315876842904,Sparse reduced-study candidate
Golimumab,0.3,1035,21,34,1,2605.2064211680736,22.377515584230423,0.004468438341961573,2729.2141707645173,0.04225900284352189,Sparse reduced-study candidate
Golimumab,0.3,1035,21,34,3,7793.71678762945,67.13144034147263,0.0044610804456500655,8166.477187096257,0.04236852687906439,Sparse reduced-study candidate
Golimumab,0.3,1035,21,34,10,25695.74767538177,223.75711798667908,0.0044559888709421345,26928.753666500128,0.042829263779257436,Sparse reduced-study candidate
Golimumab,0.3,1035,21,34,30,74687.68191244095,671.1149454116821,0.004447734165373202,78291.77597657502,0.044193863773415734,Sparse reduced-study candidate
Golimumab,0.3,1036,21,35,0.1,337.0719393444544,2.9009892605245113,0.004529122223791067,352.49181313501765,0.04241704952398462,Sparse reduced-study candidate
Golimumab,0.3,1036,21,35,1,3376.1642642512033,29.0097177028656,0.00446608451889063,3537.116734598502,0.04227076406129507,Sparse reduced-study candidate
