Molecule,Variability_CV,Design,N_per_group,Total_animals,Dose_mg_kg,Endpoint,Fraction_within_2fold,Median_fold_error,Fold_error_5th_percentile,Fold_error_95th_percentile
Golimumab,0.5,2 dose groups,3,6,1,Cmax,1,0.8901722124841539,0.7065404041013138,1.0773988325344364
Golimumab,0.5,2 dose groups,3,6,1,Terminal clearance,0.989,0.8941798018699327,0.6235724649912312,1.2905794135780426
Golimumab,0.5,2 dose groups,3,6,10,AUC0-28d,0.996,1.0686779193103515,0.7113441194988073,1.6144980787234169
Golimumab,0.5,2 dose groups,3,6,10,Cmax,1,0.8927798240342006,0.7150329740591048,1.0799133450227263
Golimumab,0.5,2 dose groups,3,6,10,Terminal clearance,0.991,0.8822415422236924,0.6005394324297385,1.2522861777708723
Golimumab,0.5,2 dose groups,6,12,1,AUC0-28d,1,1.0656240279104536,0.8144799408811583,1.4211792677277868
Golimumab,0.5,2 dose groups,6,12,1,Cmax,1,0.8978513754739197,0.7607025417621858,1.025730190735967
Golimumab,0.5,2 dose groups,6,12,1,Terminal clearance,1,0.9089564560578444,0.6843978700666187,1.1380177400432754
Golimumab,0.5,2 dose groups,6,12,10,AUC0-28d,1,1.0700739354173208,0.7992881943022071,1.4103408738631236
Golimumab,0.5,2 dose groups,6,12,10,Cmax,1,0.8938377049089936,0.7613873101622363,1.0174751037525522
Golimumab,0.5,2 dose groups,6,12,10,Terminal clearance,1,0.8985313431644419,0.6945752864828618,1.1704080663688716
Golimumab,0.5,3 dose groups,2,6,1,AUC0-28d,0.98,1.0394906976191391,0.6042823420087977,1.6662666129830808
Golimumab,0.5,3 dose groups,2,6,1,Cmax,1,0.8855851027539456,0.6564560966835704,1.1380106664008847
Golimumab,0.5,3 dose groups,2,6,1,Terminal clearance,0.972,0.8964681758944295,0.5488835434672872,1.4122503719575648
Golimumab,0.5,3 dose groups,2,6,3,AUC0-28d,0.984,1.0369250634787992,0.6486055588661799,1.691379518371835
Golimumab,0.5,3 dose groups,2,6,3,Cmax,1,0.8971635616830143,0.6645594328846284,1.1364073906249192
Golimumab,0.5,3 dose groups,2,6,3,Terminal clearance,0.98,0.8865755577995307,0.5674624651989014,1.3320998636606591
Golimumab,0.5,3 dose groups,2,6,10,AUC0-28d,0.982,1.035398336584207,0.6489816944326076,1.6412366070917388
Golimumab,0.5,3 dose groups,2,6,10,Cmax,1,0.8868867807163613,0.6697714951119591,1.1340352735703927
Golimumab,0.5,3 dose groups,2,6,10,Terminal clearance,0.978,0.8942805460130374,0.5548250256773941,1.3665455697231716
Golimumab,0.5,3 dose groups,3,9,1,AUC0-28d,0.997,1.0590750480457634,0.7007700972655537,1.5579045315328193
Golimumab,0.5,3 dose groups,3,9,1,Cmax,1,0.8950525338829073,0.7040365846325816,1.0840491990874281
Golimumab,0.5,3 dose groups,3,9,1,Terminal clearance,0.986,0.8971949449064028,0.6149440807204664,1.2686955053859543
Golimumab,0.5,3 dose groups,3,9,3,AUC0-28d,0.995,1.0630660755898385,0.7248199764640394,1.5613698970096748
Golimumab,0.5,3 dose groups,3,9,3,Cmax,1,0.8996226524537497,0.7042157798525528,1.082549252933601
Golimumab,0.5,3 dose groups,3,9,3,Terminal clearance,0.997,0.8921624897023182,0.6231134757319294,1.2598383901131491
Golimumab,0.5,3 dose groups,3,9,10,AUC0-28d,0.998,1.053106903682131,0.6916187759932978,1.569681286775814
Golimumab,0.5,3 dose groups,3,9,10,Cmax,1,0.8925207987568073,0.7085803877809084,1.0830999314442833
Golimumab,0.5,3 dose groups,3,9,10,Terminal clearance,0.995,0.9007977962686,0.6240149405747561,1.2924344893860713
Golimumab,0.5,3 dose groups,6,18,1,AUC0-28d,1,1.0729290351476122,0.7870137620856095,1.4126814717271858
Golimumab,0.5,3 dose groups,6,18,1,Cmax,1,0.8903115535318291,0.7641652445057251,1.0233549576310754
Golimumab,0.5,3 dose groups,6,18,1,Terminal clearance,1,0.9033189910283168,0.6957265545686462,1.1772923359507592
